Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-09-16 00:00:00-04:00,1.1100000143051147,1.149999976158142,1.1100000143051147,1.1299999952316284,89500,0.0,0.0
2013-09-17 00:00:00-04:00,1.1299999952316284,1.159999966621399,1.1100000143051147,1.149999976158142,137200,0.0,0.0
2013-09-18 00:00:00-04:00,1.149999976158142,1.1799999475479126,1.1399999856948853,1.1799999475479126,153600,0.0,0.0
2013-09-19 00:00:00-04:00,1.190000057220459,1.2200000286102295,1.190000057220459,1.2200000286102295,42100,0.0,0.0
2013-09-20 00:00:00-04:00,1.2200000286102295,1.2300000190734863,1.190000057220459,1.190000057220459,54700,0.0,0.0
2013-09-23 00:00:00-04:00,1.2000000476837158,1.2400000095367432,1.2000000476837158,1.2400000095367432,41200,0.0,0.0
2013-09-24 00:00:00-04:00,1.2300000190734863,1.2699999809265137,1.2300000190734863,1.2699999809265137,59300,0.0,0.0
2013-09-25 00:00:00-04:00,1.2899999618530273,1.340000033378601,1.2799999713897705,1.3200000524520874,85200,0.0,0.0
2013-09-26 00:00:00-04:00,1.340000033378601,1.350000023841858,1.2799999713897705,1.350000023841858,31800,0.0,0.0
2013-09-27 00:00:00-04:00,1.309999942779541,1.350000023841858,1.2999999523162842,1.2999999523162842,24700,0.0,0.0
2013-09-30 00:00:00-04:00,1.2999999523162842,1.2999999523162842,1.190000057220459,1.2100000381469727,94200,0.0,0.0
2013-10-01 00:00:00-04:00,1.190000057220459,1.2400000095367432,1.190000057220459,1.2200000286102295,27600,0.0,0.0
2013-10-02 00:00:00-04:00,1.2200000286102295,1.2300000190734863,1.2100000381469727,1.2200000286102295,31200,0.0,0.0
2013-10-03 00:00:00-04:00,1.2100000381469727,1.2100000381469727,1.1100000143051147,1.1699999570846558,114200,0.0,0.0
2013-10-04 00:00:00-04:00,1.1699999570846558,1.190000057220459,1.1399999856948853,1.159999966621399,78600,0.0,0.0
2013-10-07 00:00:00-04:00,1.149999976158142,1.1699999570846558,1.1399999856948853,1.1399999856948853,45100,0.0,0.0
2013-10-08 00:00:00-04:00,1.1399999856948853,1.1799999475479126,1.1100000143051147,1.1399999856948853,63900,0.0,0.0
2013-10-09 00:00:00-04:00,1.1399999856948853,1.159999966621399,1.1100000143051147,1.1299999952316284,73200,0.0,0.0
2013-10-10 00:00:00-04:00,1.1200000047683716,1.1699999570846558,1.1200000047683716,1.1200000047683716,8400,0.0,0.0
2013-10-11 00:00:00-04:00,1.1200000047683716,1.149999976158142,1.1200000047683716,1.1299999952316284,78700,0.0,0.0
2013-10-14 00:00:00-04:00,1.1299999952316284,1.1299999952316284,1.1200000047683716,1.1299999952316284,36100,0.0,0.0
2013-10-15 00:00:00-04:00,1.1299999952316284,1.1399999856948853,1.059999942779541,1.0700000524520874,108300,0.0,0.0
2013-10-16 00:00:00-04:00,1.100000023841858,1.1200000047683716,1.0,1.0,89500,0.0,0.0
2013-10-17 00:00:00-04:00,1.0199999809265137,1.100000023841858,1.0199999809265137,1.090000033378601,115300,0.0,0.0
2013-10-18 00:00:00-04:00,1.1200000047683716,1.1200000047683716,1.090000033378601,1.1200000047683716,48700,0.0,0.0
2013-10-21 00:00:00-04:00,1.1299999952316284,1.149999976158142,1.1200000047683716,1.1399999856948853,70100,0.0,0.0
2013-10-22 00:00:00-04:00,1.1200000047683716,1.1399999856948853,1.090000033378601,1.100000023841858,38600,0.0,0.0
2013-10-23 00:00:00-04:00,1.1100000143051147,1.1100000143051147,1.0399999618530273,1.0499999523162842,101900,0.0,0.0
2013-10-24 00:00:00-04:00,1.0700000524520874,1.0800000429153442,1.0099999904632568,1.0199999809265137,181900,0.0,0.0
2013-10-25 00:00:00-04:00,1.0499999523162842,1.059999942779541,1.0,1.0,79700,0.0,0.0
2013-10-28 00:00:00-04:00,1.0,1.0099999904632568,0.9599999785423279,0.9800000190734863,132500,0.0,0.0
2013-10-29 00:00:00-04:00,0.9800000190734863,1.0,0.9800000190734863,0.9800000190734863,176700,0.0,0.0
2013-10-30 00:00:00-04:00,1.0,1.0,0.9800000190734863,0.9900000095367432,64600,0.0,0.0
2013-10-31 00:00:00-04:00,0.9800000190734863,1.0099999904632568,0.9700000286102295,1.0099999904632568,63100,0.0,0.0
2013-11-01 00:00:00-04:00,1.0099999904632568,1.0199999809265137,1.0,1.0,34000,0.0,0.0
2013-11-04 00:00:00-05:00,1.0099999904632568,1.0499999523162842,1.0099999904632568,1.0499999523162842,97600,0.0,0.0
2013-11-05 00:00:00-05:00,1.0499999523162842,1.0499999523162842,1.0199999809265137,1.0299999713897705,23200,0.0,0.0
2013-11-06 00:00:00-05:00,1.0299999713897705,1.0399999618530273,1.0199999809265137,1.0199999809265137,16400,0.0,0.0
2013-11-07 00:00:00-05:00,1.0199999809265137,1.0499999523162842,1.0199999809265137,1.0399999618530273,83600,0.0,0.0
2013-11-08 00:00:00-05:00,1.0299999713897705,1.0399999618530273,1.0099999904632568,1.0199999809265137,166700,0.0,0.0
2013-11-11 00:00:00-05:00,1.0399999618530273,1.0399999618530273,1.0199999809265137,1.0199999809265137,105800,0.0,0.0
2013-11-12 00:00:00-05:00,1.0099999904632568,1.0199999809265137,1.0099999904632568,1.0199999809265137,48700,0.0,0.0
2013-11-13 00:00:00-05:00,1.0,1.0299999713897705,1.0,1.0,40200,0.0,0.0
2013-11-14 00:00:00-05:00,1.0199999809265137,1.059999942779541,1.0,1.059999942779541,87400,0.0,0.0
2013-11-15 00:00:00-05:00,1.100000023841858,1.190000057220459,1.0800000429153442,1.1399999856948853,269600,0.0,0.0
2013-11-18 00:00:00-05:00,1.1399999856948853,1.2000000476837158,1.1399999856948853,1.159999966621399,102900,0.0,0.0
2013-11-19 00:00:00-05:00,1.159999966621399,1.1699999570846558,1.1299999952316284,1.1299999952316284,47300,0.0,0.0
2013-11-20 00:00:00-05:00,1.1399999856948853,1.159999966621399,1.090000033378601,1.1100000143051147,96600,0.0,0.0
2013-11-21 00:00:00-05:00,1.100000023841858,1.1299999952316284,1.0800000429153442,1.1299999952316284,120500,0.0,0.0
2013-11-22 00:00:00-05:00,1.1200000047683716,1.159999966621399,1.1200000047683716,1.1299999952316284,127300,0.0,0.0
2013-11-25 00:00:00-05:00,1.1399999856948853,1.149999976158142,1.1200000047683716,1.1200000047683716,175600,0.0,0.0
2013-11-26 00:00:00-05:00,1.1200000047683716,1.1200000047683716,1.1100000143051147,1.1200000047683716,38300,0.0,0.0
2013-11-27 00:00:00-05:00,1.100000023841858,1.1100000143051147,1.0499999523162842,1.0800000429153442,169000,0.0,0.0
2013-11-29 00:00:00-05:00,1.0499999523162842,1.090000033378601,1.0399999618530273,1.090000033378601,25600,0.0,0.0
2013-12-02 00:00:00-05:00,1.1299999952316284,1.1299999952316284,1.0800000429153442,1.090000033378601,89500,0.0,0.0
2013-12-03 00:00:00-05:00,1.100000023841858,1.1200000047683716,1.0399999618530273,1.0399999618530273,101900,0.0,0.0
2013-12-04 00:00:00-05:00,1.0499999523162842,1.059999942779541,1.0,1.0,32600,0.0,0.0
2013-12-05 00:00:00-05:00,1.0199999809265137,1.0299999713897705,0.9599999785423279,0.9599999785423279,137900,0.0,0.0
2013-12-06 00:00:00-05:00,0.9800000190734863,0.9800000190734863,0.9599999785423279,0.9700000286102295,89300,0.0,0.0
2013-12-09 00:00:00-05:00,1.0,1.0299999713897705,0.9700000286102295,0.9800000190734863,102300,0.0,0.0
2013-12-10 00:00:00-05:00,0.9900000095367432,1.0499999523162842,0.9800000190734863,1.0499999523162842,66000,0.0,0.0
2013-12-11 00:00:00-05:00,1.0800000429153442,1.090000033378601,1.0399999618530273,1.0700000524520874,70000,0.0,0.0
2013-12-12 00:00:00-05:00,1.0800000429153442,1.0800000429153442,0.9900000095367432,1.0099999904632568,144800,0.0,0.0
2013-12-13 00:00:00-05:00,1.0099999904632568,1.0399999618530273,1.0,1.0,52100,0.0,0.0
2013-12-16 00:00:00-05:00,1.0,1.0099999904632568,0.9800000190734863,0.9800000190734863,62900,0.0,0.0
2013-12-17 00:00:00-05:00,1.0099999904632568,1.0099999904632568,0.9599999785423279,0.9599999785423279,72500,0.0,0.0
2013-12-18 00:00:00-05:00,0.9800000190734863,0.9900000095367432,0.9599999785423279,0.9800000190734863,76000,0.0,0.0
2013-12-19 00:00:00-05:00,0.9800000190734863,0.9800000190734863,0.9399999976158142,0.9599999785423279,94900,0.0,0.0
